0.18 0.19 0.19 0.20 0.20 0.20 0.21 0.21 0.21 0.26 0.21 0.21 0.21 0.20 0.20 0.19 0.18 0.17 0.16 0.12 0.09 0.47 0.16 0.09 0.16 0.94 0.11 0.01 -0.04 0.37 0.88 0.80 0.43 0.19 0.11 0.02 -0.04 -0.10 -0.15 -0.18 -0.18 -0.18 -0.18 -0.18 -0.15 -0.11 -0.14 -0.15 -0.15 -0.14 -0.13 -0.13 -0.12 -0.12 -0.11 -0.10 -0.10 -0.09
0.20 0.18 0.19 0.19 0.20 0.20 0.20 0.20 0.21 0.21 0.21 0.21 0.21 0.20 0.20 0.19 0.18 0.16 0.13 0.10 0.07 0.14 1.31 0.21 0.05 0.81 0.70 0.49 0.61 0.77 0.32 0.03 0.10 0.06 -0.02 -0.08 -0.12 -0.16 -0.19 -0.20 -0.20 -0.19 -0.20 -0.19 -0.17 -0.14 -0.16 -0.17 -0.16 -0.14 -0.12 -0.14 -0.14 -0.13 -0.12 -0.11 -0.11 -0.10
0.19 0.17 0.18 0.19 0.19 0.20 0.20 0.20 0.20 0.21 0.21 0.21 0.20 0.20 0.19 0.17 0.15 0.13 0.10 0.07 0.05 0.05 0.92 1.14 0.74 0.23 0.11 0.16 0.16 0.07 -0.01 -0.03 -0.03 -0.06 -0.10 -0.14 -0.17 -0.20 -0.21 -0.21 -0.21 -0.20 -0.21 -0.20 -0.19 -0.18 -0.18 -0.18 -0.17 -0.15 -0.12 -0.09 -0.15 -0.14 -0.13 -0.12 -0.12 -0.11
0.35 0.19 0.17 0.18 0.19 0.19 0.20 0.20 0.21 0.20 0.20 0.20 0.20 0.19 0.17 0.15 0.13 0.10 0.07 0.04 0.02 0.52 0.24 0.14 0.07 0.03 -0.01 -0.02 -0.03 -0.06 -0.08 -0.10 -0.11 -0.13 -0.16 -0.19 -0.21 -0.22 -0.23 -0.23 -0.22 -0.21 -0.23 -0.22 -0.21 -0.21 -0.20 -0.20 -0.18 -0.16 -0.15 -0.14 -0.16 -0.15 -0.14 -0.13 -0.12 -0.11
0.48 0.18 0.16 0.17 0.18 0.19 0.19 0.21 0.41 0.21 0.20 0.20 0.19 0.17 0.15 0.12 0.10 0.07 0.03 0.01 -0.01 0.09 0.02 -0.03 -0.03 -0.05 -0.07 -0.08 -0.09 -0.12 -0.13 -0.14 -0.16 -0.18 -0.20 -0.22 -0.23 -0.24 -0.24 -0.25 -0.24 -0.22 -0.24 -0.24 -0.23 -0.23 -0.22 -0.21 -0.19 -0.17 -0.15 -0.12 -0.09 -0.16 -0.15 -0.14 -0.13 -0.12
0.51 0.19 0.15 0.16 0.17 0.18 0.18 0.19 0.22 0.20 0.20 0.19 0.18 0.15 0.12 0.09 0.06 0.03 0.01 -0.01 -0.02 -0.02 -0.04 -0.06 -0.07 -0.09 -0.11 -0.12 -0.14 -0.15 -0.17 -0.18 -0.19 -0.21 -0.22 -0.24 -0.25 -0.25 -0.26 -0.26 -0.25 -0.25 -0.26 -0.25 -0.25 -0.24 -0.23 -0.22 -0.20 -0.17 -0.15 -0.12 -0.11 -0.10 -0.15 -0.14 -0.13 -0.12
0.74 0.29 0.16 0.15 0.16 0.17 0.18 0.18 0.19 0.19 0.19 0.18 0.17 0.13 0.10 0.06 0.03 0.01 -0.01 -0.02 -0.04 -0.05 -0.07 -0.09 -0.10 -0.12 -0.14 -0.15 -0.17 -0.18 -0.19 -0.21 -0.22 -0.23 -0.24 -0.25 -0.26 -0.27 -0.27 -0.27 -0.27 -0.27 -0.27 -0.27 -0.26 -0.26 -0.25 -0.24 -0.22 -0.19 -0.18 -0.17 -0.16 -0.15 -0.15 -0.14 -0.13 -0.12
0.26 0.49 0.18 0.14 0.15 0.16 0.17 0.19 0.19 0.19 0.18 0.17 0.14 0.10 0.06 0.04 0.01 -0.01 -0.02 -0.04 -0.06 -0.08 -0.10 -0.12 -0.13 -0.15 -0.16 -0.18 -0.19 -0.20 -0.21 -0.23 -0.24 -0.25 -0.26 -0.27 -0.27 -0.28 -0.28 -0.29 -0.29 -0.29 -0.29 -0.28 -0.28 -0.27 -0.26 -0.25 -0.23 -0.20 -0.19 -0.17 -0.15 -0.13 -0.11 -0.14 -0.13 -0.12
0.27 0.78 0.35 0.18 0.14 0.15 0.20 0.53 0.46 0.19 0.17 0.16 0.12 0.07 0.04 0.03 0.00 -0.02 -0.04 -0.06 -0.08 -0.10 -0.12 -0.14 -0.16 -0.17 -0.18 -0.20 -0.21 -0.22 -0.23 -0.25 -0.26 -0.27 -0.28 -0.28 -0.29 -0.29 -0.30 -0.30 -0.30 -0.30 -0.30 -0.30 -0.29 -0.29 -0.28 -0.27 -0.25 -0.24 -0.22 -0.20 -0.18 -0.16 -0.14 -0.12 -0.13 -0.11
1.08 0.25 0.75 0.41 0.18 0.18 0.16 0.20 0.20 0.17 0.16 0.14 0.09 0.05 0.03 0.01 -0.01 -0.03 -0.06 -0.08 -0.10 -0.13 -0.15 -0.16 -0.18 -0.19 -0.20 -0.22 -0.23 -0.24 -0.25 -0.26 -0.27 -0.28 -0.29 -0.30 -0.30 -0.31 -0.31 -0.32 -0.32 -0.32 -0.31 -0.31 -0.31 -0.30 -0.29 -0.27 -0.26 -0.25 -0.23 -0.20 -0.18 -0.14 -0.11 -0.10 -0.12 -0.10
0.15 0.59 0.20 0.81 0.30 0.73 0.20 0.47 0.18 0.15 0.14 0.12 0.06 0.03 0.02 -0.00 -0.02 -0.05 -0.08 -0.10 -0.13 -0.15 -0.16 -0.18 -0.19 -0.21 -0.22 -0.23 -0.24 -0.25 -0.27 -0.28 -0.28 -0.29 -0.30 -0.31 -0.31 -0.32 -0.33 -0.33 -0.33 -0.33 -0.33 -0.33 -0.32 -0.31 -0.30 -0.29 -0.28 -0.26 -0.24 -0.21 -0.15 -0.06 0.04 0.14 -0.11 -0.09
0.11 0.12 0.13 0.26 0.93 0.34 0.16 0.18 0.14 0.13 0.12 0.08 0.04 0.02 0.00 -0.02 -0.05 -0.07 -0.10 -0.13 -0.15 -0.17 -0.18 -0.20 -0.21 -0.22 -0.23 -0.25 -0.26 -0.27 -0.28 -0.29 -0.30 -0.31 -0.31 -0.32 -0.32 -0.33 -0.34 -0.34 -0.35 -0.35 -0.34 -0.34 -0.33 -0.32 -0.31 -0.29 -0.27 -0.25 -0.22 -0.16 -0.01 0.19 0.55 0.52 -0.08 -0.08
0.11 0.12 0.13 0.14 0.19 0.15 0.13 0.13 0.12 0.11 0.08 0.04 0.02 0.00 -0.02 -0.04 -0.07 -0.10 -0.13 -0.15 -0.17 -0.18 -0.20 -0.21 -0.22 -0.24 -0.25 -0.26 -0.27 -0.28 -0.29 -0.30 -0.31 -0.32 -0.33 -0.34 -0.34 -0.34 -0.34 -0.35 -0.36 -0.36 -0.36 -0.35 -0.34 -0.33 -0.32 -0.30 -0.27 -0.24 -0.19 -0.09 0.17 0.33 -0.08 0.01 -0.02 -0.06
0.11 0.11 0.12 0.12 0.12 0.12 0.11 0.10 0.09 0.07 0.04 0.02 0.00 -0.02 -0.04 -0.07 -0.10 -0.13 -0.15 -0.17 -0.19 -0.20 -0.21 -0.23 -0.24 -0.25 -0.26 -0.27 -0.29 -0.30 -0.31 -0.32 -0.33 -0.34 -0.34 -0.35 -0.35 -0.36 -0.36 -0.36 -0.37 -0.37 -0.37 -0.36 -0.35 -0.34 -0.32 -0.30 -0.27 -0.25 -0.21 -0.14 0.12 -0.13 -0.03 0.57 0.59 -0.00
0.09 0.10 0.10 0.10 0.09 0.09 0.08 0.07 0.05 0.03 0.01 -0.00 -0.02 -0.05 -0.07 -0.10 -0.13 -0.15 -0.17 -0.19 -0.20 -0.22 -0.23 -0.24 -0.25 -0.27 -0.28 -0.29 -0.30 -0.31 -0.32 -0.33 -0.34 -0.35 -0.36 -0.37 -0.37 -0.38 -0.38 -0.37 -0.37 -0.37 -0.37 -0.37 -0.36 -0.34 -0.32 -0.30 -0.28 -0.25 -0.23 -0.20 -0.15 -0.12 -0.10 -0.07 -0.00 0.69
0.07 0.07 0.07 0.07 0.06 0.06 0.05 0.03 0.02 0.00 -0.01 -0.03 -0.05 -0.08 -0.10 -0.13 -0.15 -0.17 -0.19 -0.21 -0.22 -0.23 -0.25 -0.26 -0.27 -0.28 -0.29 -0.30 -0.31 -0.32 -0.33 -0.35 -0.36 -0.37 -0.37 -0.38 -0.38 -0.39 -0.39 -0.39 -0.38 -0.38 -0.38 -0.37 -0.36 -0.34 -0.32 -0.29 -0.27 -0.25 -0.22 -0.18 -0.13 -0.10 -0.08 -0.07 -0.05 0.23
0.04 0.05 0.05 0.04 0.04 0.03 0.02 0.00 -0.01 -0.03 -0.04 -0.06 -0.08 -0.11 -0.13 -0.15 -0.17 -0.19 -0.21 -0.22 -0.24 -0.25 -0.26 -0.27 -0.29 -0.30 -0.31 -0.32 -0.33 -0.34 -0.35 -0.36 -0.37 -0.38 -0.39 -0.39 -0.40 -0.40 -0.40 -0.40 -0.39 -0.39 -0.38 -0.37 -0.35 -0.33 -0.31 -0.29 -0.27 -0.25 -0.20 -0.16 -0.11 -0.09 -0.07 -0.06 0.01 0.65
0.02 0.02 0.01 0.01 0.00 -0.01 -0.02 -0.03 -0.05 -0.06 -0.08 -0.10 -0.12 -0.14 -0.16 -0.18 -0.19 -0.21 -0.23 -0.24 -0.25 -0.27 -0.28 -0.29 -0.30 -0.31 -0.32 -0.33 -0.34 -0.35 -0.36 -0.37 -0.38 -0.39 -0.39 -0.40 -0.40 -0.40 -0.40 -0.40 -0.39 -0.39 -0.38 -0.36 -0.35 -0.33 -0.31 -0.29 -0.27 -0.24 -0.19 -0.15 -0.10 -0.08 -0.06 -0.06 -0.04 0.02
-0.02 -0.02 -0.02 -0.03 -0.04 -0.05 -0.06 -0.07 -0.08 -0.10 -0.11 -0.13 -0.15 -0.16 -0.18 -0.20 -0.21 -0.23 -0.24 -0.26 -0.27 -0.28 -0.29 -0.30 -0.31 -0.32 -0.33 -0.34 -0.35 -0.36 -0.37 -0.38 -0.39 -0.40 -0.40 -0.40 -0.41 -0.40 -0.40 -0.40 -0.39 -0.38 -0.37 -0.36 -0.34 -0.32 -0.30 -0.28 -0.26 -0.23 -0.19 -0.15 -0.10 -0.08 -0.06 -0.05 -0.05 -0.02
-0.05 -0.05 -0.06 -0.07 -0.07 -0.08 -0.09 -0.10 -0.11 -0.13 -0.14 -0.16 -0.17 -0.19 -0.20 -0.22 -0.23 -0.25 -0.26 -0.27 -0.29 -0.30 -0.31 -0.32 -0.33 -0.33 -0.34 -0.35 -0.36 -0.37 -0.38 -0.39 -0.39 -0.40 -0.40 -0.41 -0.41 -0.40 -0.40 -0.40 -0.39 -0.38 -0.37 -0.35 -0.34 -0.32 -0.29 -0.27 -0.24 -0.23 -0.19 -0.15 -0.10 -0.07 -0.06 -0.04 -0.04 -0.03
-0.09 -0.09 -0.09 -0.10 -0.11 -0.11 -0.12 -0.13 -0.14 -0.16 -0.17 -0.18 -0.19 -0.21 -0.22 -0.24 -0.25 -0.26 -0.28 -0.29 -0.30 -0.31 -0.32 -0.33 -0.34 -0.34 -0.35 -0.36 -0.37 -0.38 -0.38 -0.39 -0.40 -0.40 -0.40 -0.41 -0.41 -0.40 -0.40 -0.39 -0.39 -0.38 -0.36 -0.35 -0.33 -0.31 -0.29 -0.26 -0.24 -0.21 -0.19 -0.15 -0.10 -0.08 -0.06 -0.04 -0.04 -0.03
-0.12 -0.12 -0.12 -0.13 -0.14 -0.14 -0.15 -0.16 -0.17 -0.18 -0.19 -0.20 -0.22 -0.23 -0.24 -0.25 -0.27 -0.28 -0.29 -0.30 -0.31 -0.32 -0.33 -0.34 -0.34 -0.35 -0.36 -0.37 -0.38 -0.38 -0.39 -0.40 -0.40 -0.40 -0.41 -0.41 -0.40 -0.40 -0.40 -0.39 -0.38 -0.37 -0.36 -0.35 -0.33 -0.31 -0.28 -0.26 -0.23 -0.20 -0.18 -0.16 -0.11 -0.08 -0.06 -0.04 -0.02 -0.01
-0.15 -0.15 -0.15 -0.16 -0.16 -0.17 -0.18 -0.19 -0.19 -0.20 -0.21 -0.22 -0.23 -0.25 -0.26 -0.27 -0.28 -0.29 -0.30 -0.31 -0.32 -0.33 -0.34 -0.34 -0.35 -0.36 -0.37 -0.37 -0.38 -0.39 -0.39 -0.40 -0.40 -0.40 -0.40 -0.40 -0.40 -0.40 -0.40 -0.39 -0.38 -0.37 -0.36 -0.34 -0.33 -0.30 -0.28 -0.25 -0.23 -0.20 -0.18 -0.16 -0.13 -0.08 -0.05 -0.03 -0.01 0.04
-0.17 -0.17 -0.18 -0.18 -0.19 -0.19 -0.20 -0.21 -0.21 -0.22 -0.23 -0.24 -0.25 -0.26 -0.27 -0.28 -0.29 -0.30 -0.31 -0.32 -0.33 -0.34 -0.34 -0.35 -0.36 -0.36 -0.37 -0.38 -0.38 -0.39 -0.39 -0.40 -0.40 -0.40 -0.40 -0.40 -0.40 -0.40 -0.39 -0.39 -0.38 -0.37 -0.36 -0.34 -0.32 -0.30 -0.27 -0.25 -0.22 -0.19 -0.17 -0.15 -0.13 -0.09 -0.05 -0.02 -0.00 0.01
-0.19 -0.20 -0.20 -0.20 -0.21 -0.21 -0.22 -0.22 -0.23 -0.24 -0.25 -0.26 -0.27 -0.28 -0.29 -0.30 -0.31 -0.31 -0.32 -0.33 -0.34 -0.34 -0.35 -0.35 -0.36 -0.37 -0.37 -0.38 -0.38 -0.39 -0.39 -0.40 -0.40 -0.40 -0.40 -0.40 -0.40 -0.40 -0.39 -0.38 -0.38 -0.36 -0.35 -0.33 -0.31 -0.29 -0.27 -0.24 -0.22 -0.19 -0.16 -0.14 -0.12 -0.10 -0.05 -0.02 0.00 0.07
-0.21 -0.22 -0.22 -0.22 -0.23 -0.23 -0.23 -0.24 -0.25 -0.25 -0.26 -0.27 -0.28 -0.29 -0.30 -0.31 -0.31 -0.32 -0.33 -0.33 -0.34 -0.34 -0.35 -0.36 -0.36 -0.37 -0.37 -0.38 -0.38 -0.39 -0.39 -0.39 -0.40 -0.40 -0.40 -0.40 -0.40 -0.39 -0.39 -0.38 -0.37 -0.36 -0.34 -0.33 -0.31 -0.29 -0.26 -0.24 -0.21 -0.18 -0.16 -0.14 -0.11 -0.09 -0.07 -0.03 -0.00 0.01
-0.23 -0.23 -0.24 -0.24 -0.24 -0.24 -0.25 -0.25 -0.26 -0.26 -0.27 -0.28 -0.29 -0.30 -0.31 -0.31 -0.32 -0.33 -0.33 -0.34 -0.34 -0.35 -0.35 -0.36 -0.36 -0.37 -0.37 -0.38 -0.38 -0.39 -0.39 -0.39 -0.39 -0.39 -0.39 -0.39 -0.39 -0.39 -0.38 -0.38 -0.37 -0.35 -0.34 -0.32 -0.30 -0.28 -0.26 -0.23 -0.21 -0.18 -0.16 -0.13 -0.11 -0.10 -0.07 -0.04 0.00 0.02
-0.25 -0.25 -0.25 -0.25 -0.25 -0.26 -0.26 -0.26 -0.27 -0.27 -0.28 -0.29 -0.30 -0.30 -0.31 -0.32 -0.32 -0.33 -0.33 -0.34 -0.34 -0.35 -0.35 -0.36 -0.36 -0.37 -0.37 -0.38 -0.38 -0.38 -0.39 -0.39 -0.39 -0.39 -0.39 -0.39 -0.39 -0.38 -0.38 -0.37 -0.36 -0.34 -0.33 -0.31 -0.29 -0.27 -0.25 -0.23 -0.21 -0.18 -0.15 -0.13 -0.11 -0.10 -0.08 -0.04 -0.01 0.02
-0.26 -0.26 -0.26 -0.26 -0.27 -0.27 -0.27 -0.27 -0.28 -0.28 -0.29 -0.30 -0.30 -0.31 -0.32 -0.32 -0.33 -0.33 -0.34 -0.34 -0.34 -0.35 -0.35 -0.36 -0.36 -0.37 -0.37 -0.37 -0.38 -0.38 -0.38 -0.39 -0.39 -0.39 -0.38 -0.38 -0.38 -0.37 -0.37 -0.36 -0.35 -0.33 -0.32 -0.30 -0.29 -0.27 -0.25 -0.23 -0.20 -0.18 -0.16 -0.13 -0.11 -0.10 -0.08 -0.04 -0.01 0.01
-0.27 -0.27 -0.27 -0.27 -0.27 -0.28 -0.28 -0.28 -0.28 -0.29 -0.29 -0.30 -0.31 -0.31 -0.32 -0.32 -0.33 -0.33 -0.34 -0.34 -0.34 -0.35 -0.35 -0.36 -0.36 -0.37 -0.37 -0.37 -0.38 -0.38 -0.38 -0.38 -0.38 -0.38 -0.38 -0.38 -0.37 -0.36 -0.36 -0.35 -0.34 -0.32 -0.31 -0.30 -0.28 -0.26 -0.24 -0.22 -0.20 -0.18 -0.16 -0.13 -0.11 -0.10 -0.08 -0.05 -0.02 0.01
-0.29 -0.29 -0.28 -0.28 -0.28 -0.28 -0.28 -0.28 -0.29 -0.29 -0.30 -0.30 -0.31 -0.31 -0.32 -0.32 -0.33 -0.33 -0.34 -0.34 -0.34 -0.35 -0.35 -0.36 -0.36 -0.36 -0.37 -0.37 -0.37 -0.38 -0.38 -0.38 -0.38 -0.38 -0.37 -0.37 -0.36 -0.36 -0.35 -0.34 -0.33 -0.31 -0.30 -0.29 -0.27 -0.26 -0.24 -0.22 -0.20 -0.18 -0.16 -0.14 -0.12 -0.10 -0.08 -0.05 -0.02 0.00
-0.30 -0.29 -0.29 -0.29 -0.28 -0.28 -0.28 -0.28 -0.29 -0.29 -0.30 -0.30 -0.31 -0.31 -0.32 -0.32 -0.33 -0.33 -0.34 -0.34 -0.35 -0.35 -0.35 -0.36 -0.36 -0.36 -0.37 -0.37 -0.37 -0.37 -0.37 -0.37 -0.37 -0.37 -0.37 -0.37 -0.36 -0.35 -0.34 -0.33 -0.32 -0.31 -0.29 -0.28 -0.27 -0.25 -0.24 -0.22 -0.20 -0.18 -0.16 -0.14 -0.13 -0.11 -0.09 -0.06 -0.03 -0.00
-0.30 -0.30 -0.29 -0.28 -0.28 -0.28 -0.28 -0.28 -0.28 -0.29 -0.29 -0.30 -0.31 -0.31 -0.32 -0.32 -0.33 -0.33 -0.34 -0.34 -0.35 -0.35 -0.35 -0.36 -0.36 -0.36 -0.37 -0.37 -0.37 -0.37 -0.37 -0.37 -0.37 -0.37 -0.36 -0.36 -0.35 -0.34 -0.33 -0.32 -0.31 -0.30 -0.29 -0.28 -0.26 -0.25 -0.24 -0.22 -0.20 -0.18 -0.16 -0.14 -0.13 -0.12 -0.09 -0.06 -0.04 -0.01
-0.31 -0.30 -0.29 -0.28 -0.27 -0.27 -0.27 -0.27 -0.28 -0.28 -0.29 -0.30 -0.30 -0.31 -0.32 -0.32 -0.33 -0.33 -0.34 -0.34 -0.35 -0.35 -0.35 -0.36 -0.36 -0.36 -0.36 -0.37 -0.37 -0.37 -0.37 -0.37 -0.37 -0.36 -0.36 -0.35 -0.35 -0.34 -0.33 -0.32 -0.31 -0.30 -0.28 -0.27 -0.26 -0.25 -0.24 -0.22 -0.21 -0.19 -0.17 -0.15 -0.13 -0.12 -0.10 -0.07 -0.05 -0.02
-0.30 -0.29 -0.27 -0.27 -0.26 -0.26 -0.26 -0.26 -0.27 -0.27 -0.28 -0.29 -0.30 -0.31 -0.31 -0.32 -0.33 -0.33 -0.34 -0.34 -0.35 -0.35 -0.35 -0.36 -0.36 -0.36 -0.36 -0.36 -0.36 -0.36 -0.36 -0.36 -0.36 -0.36 -0.35 -0.35 -0.34 -0.33 -0.32 -0.31 -0.30 -0.29 -0.28 -0.27 -0.26 -0.25 -0.24 -0.22 -0.21 -0.19 -0.17 -0.15 -0.13 -0.12 -0.11 -0.08 -0.06 -0.03
-0.29 -0.27 -0.26 -0.25 -0.24 -0.24 -0.24 -0.25 -0.25 -0.26 -0.27 -0.28 -0.29 -0.30 -0.31 -0.32 -0.33 -0.33 -0.34 -0.34 -0.35 -0.35 -0.35 -0.36 -0.36 -0.36 -0.36 -0.36 -0.36 -0.36 -0.36 -0.36 -0.36 -0.35 -0.35 -0.34 -0.33 -0.33 -0.32 -0.31 -0.30 -0.29 -0.28 -0.27 -0.26 -0.25 -0.24 -0.23 -0.21 -0.19 -0.17 -0.16 -0.14 -0.12 -0.11 -0.09 -0.07 -0.05
-0.27 -0.25 -0.24 -0.23 -0.22 -0.22 -0.22 -0.23 -0.24 -0.25 -0.26 -0.27 -0.29 -0.30 -0.31 -0.32 -0.32 -0.33 -0.34 -0.34 -0.35 -0.35 -0.35 -0.35 -0.36 -0.36 -0.36 -0.36 -0.36 -0.36 -0.36 -0.35 -0.35 -0.35 -0.34 -0.34 -0.33 -0.32 -0.31 -0.30 -0.29 -0.29 -0.28 -0.27 -0.26 -0.25 -0.24 -0.23 -0.22 -0.20 -0.18 -0.16 -0.14 -0.12 -0.11 -0.09 -0.08 -0.06
-0.25 -0.23 -0.22 -0.20 -0.20 -0.20 -0.20 -0.21 -0.22 -0.24 -0.25 -0.26 -0.28 -0.29 -0.30 -0.31 -0.32 -0.33 -0.34 -0.34 -0.35 -0.35 -0.35 -0.35 -0.35 -0.35 -0.35 -0.35 -0.35 -0.35 -0.35 -0.35 -0.35 -0.34 -0.34 -0.33 -0.32 -0.32 -0.31 -0.30 -0.29 -0.28 -0.28 -0.27 -0.26 -0.26 -0.25 -0.24 -0.22 -0.21 -0.19 -0.17 -0.15 -0.13 -0.11 -0.09 -0.08 -0.07
