0.64 0.48 0.25 0.18 0.19 0.19 0.19 0.20 0.20 0.20 0.20 0.20 0.19 0.18 0.17 0.15 0.12 0.07 0.03 0.00 -0.02 -0.04 -0.07 -0.09 -0.11 -0.12 -0.12 -0.14 -0.16 -0.15 -0.18 -0.21 -0.23 -0.24 -0.25 -0.26 -0.26 -0.27 -0.27 -0.28 -0.28 -0.28 -0.28 -0.27 -0.27 -0.26 -0.25 -0.24 -0.23 -0.21 -0.19 -0.18 -0.17 -0.17 -0.15 -0.13 -0.12 -0.10
0.38 0.61 0.37 0.20 0.18 0.19 0.19 0.20 0.20 0.20 0.19 0.19 0.18 0.17 0.14 0.12 0.08 0.03 0.01 -0.02 -0.05 -0.08 -0.11 -0.13 -0.15 -0.16 -0.17 -0.19 -0.20 -0.21 -0.22 -0.24 -0.25 -0.26 -0.26 -0.27 -0.27 -0.28 -0.28 -0.29 -0.29 -0.29 -0.29 -0.29 -0.28 -0.28 -0.27 -0.25 -0.24 -0.22 -0.21 -0.19 -0.17 -0.15 -0.13 -0.12 -0.10 -0.10
0.26 0.65 0.57 0.33 0.19 0.18 0.19 0.19 0.20 0.19 0.19 0.18 0.17 0.14 0.10 0.07 0.04 0.01 -0.02 -0.05 -0.08 -0.11 -0.14 -0.16 -0.17 -0.19 -0.20 -0.21 -0.22 -0.23 -0.24 -0.25 -0.26 -0.27 -0.28 -0.28 -0.29 -0.29 -0.30 -0.30 -0.30 -0.31 -0.30 -0.30 -0.30 -0.29 -0.28 -0.27 -0.26 -0.25 -0.23 -0.20 -0.14 -0.08 -0.06 -0.10 -0.10 -0.10
0.22 0.31 0.66 0.56 0.27 0.19 0.19 0.19 0.19 0.18 0.18 0.16 0.15 0.11 0.08 0.05 0.02 -0.01 -0.04 -0.08 -0.11 -0.14 -0.16 -0.18 -0.19 -0.19 -0.20 -0.21 -0.23 -0.24 -0.25 -0.26 -0.27 -0.28 -0.29 -0.30 -0.30 -0.31 -0.31 -0.31 -0.32 -0.32 -0.32 -0.32 -0.31 -0.30 -0.30 -0.29 -0.27 -0.25 -0.21 -0.12 -0.02 0.06 0.07 -0.05 -0.10 -0.09
0.17 0.19 0.31 0.63 0.25 0.22 0.19 0.18 0.18 0.17 0.16 0.14 0.11 0.08 0.06 0.03 0.00 -0.04 -0.07 -0.11 -0.14 -0.16 -0.18 -0.19 -0.19 -0.20 -0.21 -0.22 -0.24 -0.25 -0.26 -0.27 -0.28 -0.29 -0.30 -0.31 -0.31 -0.32 -0.33 -0.33 -0.33 -0.34 -0.34 -0.33 -0.33 -0.32 -0.31 -0.30 -0.28 -0.24 -0.15 -0.04 0.08 0.18 0.23 0.11 -0.05 -0.07
0.15 0.16 0.18 0.26 0.19 0.18 0.18 0.17 0.17 0.16 0.14 0.12 0.08 0.06 0.04 0.01 -0.02 -0.07 -0.11 -0.14 -0.16 -0.18 -0.19 -0.19 -0.20 -0.22 -0.23 -0.24 -0.25 -0.26 -0.28 -0.29 -0.30 -0.31 -0.32 -0.32 -0.33 -0.34 -0.33 -0.34 -0.35 -0.35 -0.35 -0.35 -0.35 -0.34 -0.33 -0.31 -0.28 -0.22 -0.12 0.01 0.15 0.27 0.40 0.35 0.07 -0.03
0.14 0.15 0.16 0.17 0.17 0.17 0.16 0.16 0.15 0.13 0.11 0.08 0.04 0.03 0.01 -0.02 -0.06 -0.10 -0.14 -0.17 -0.18 -0.19 -0.20 -0.21 -0.22 -0.23 -0.24 -0.25 -0.27 -0.28 -0.29 -0.30 -0.31 -0.32 -0.33 -0.34 -0.35 -0.35 -0.35 -0.35 -0.36 -0.37 -0.37 -0.37 -0.37 -0.36 -0.34 -0.32 -0.28 -0.23 -0.16 -0.06 0.05 0.14 0.12 0.08 0.25 0.08
0.14 0.14 0.15 0.15 0.15 0.15 0.14 0.13 0.12 0.09 0.07 0.04 0.02 0.01 -0.02 -0.06 -0.10 -0.14 -0.17 -0.18 -0.19 -0.20 -0.21 -0.22 -0.23 -0.25 -0.26 -0.27 -0.28 -0.29 -0.30 -0.32 -0.33 -0.34 -0.35 -0.36 -0.37 -0.37 -0.37 -0.36 -0.37 -0.38 -0.39 -0.39 -0.38 -0.36 -0.34 -0.31 -0.27 -0.24 -0.20 -0.16 -0.12 -0.06 0.04 0.26 0.48 0.31
0.12 0.13 0.13 0.13 0.12 0.12 0.11 0.10 0.08 0.05 0.03 0.01 -0.01 -0.02 -0.06 -0.10 -0.14 -0.17 -0.19 -0.20 -0.21 -0.21 -0.23 -0.24 -0.25 -0.26 -0.28 -0.29 -0.30 -0.31 -0.32 -0.33 -0.35 -0.36 -0.37 -0.38 -0.39 -0.39 -0.39 -0.39 -0.38 -0.39 -0.40 -0.40 -0.38 -0.36 -0.33 -0.29 -0.26 -0.23 -0.21 -0.18 -0.13 -0.10 -0.04 0.09 0.30 0.52
0.10 0.10 0.10 0.10 0.09 0.08 0.07 0.06 0.04 0.02 0.00 -0.02 -0.04 -0.06 -0.10 -0.14 -0.17 -0.19 -0.20 -0.21 -0.22 -0.23 -0.25 -0.26 -0.27 -0.28 -0.29 -0.30 -0.31 -0.32 -0.34 -0.35 -0.37 -0.39 -0.40 -0.40 -0.41 -0.41 -0.41 -0.41 -0.41 -0.40 -0.41 -0.40 -0.38 -0.35 -0.31 -0.27 -0.24 -0.22 -0.20 -0.15 -0.12 -0.09 -0.06 -0.01 0.11 0.28
0.07 0.07 0.07 0.07 0.06 0.05 0.04 0.02 0.01 -0.01 -0.03 -0.05 -0.08 -0.11 -0.15 -0.17 -0.19 -0.20 -0.21 -0.23 -0.24 -0.25 -0.27 -0.28 -0.29 -0.30 -0.31 -0.32 -0.33 -0.34 -0.35 -0.37 -0.39 -0.41 -0.41 -0.42 -0.42 -0.42 -0.42 -0.42 -0.42 -0.41 -0.40 -0.39 -0.36 -0.33 -0.29 -0.26 -0.24 -0.21 -0.17 -0.13 -0.10 -0.07 -0.04 0.03 0.22 0.48
0.04 0.04 0.04 0.03 0.02 0.01 -0.00 -0.02 -0.04 -0.05 -0.07 -0.09 -0.12 -0.15 -0.18 -0.19 -0.20 -0.22 -0.23 -0.24 -0.26 -0.27 -0.29 -0.30 -0.31 -0.32 -0.32 -0.33 -0.34 -0.35 -0.37 -0.39 -0.40 -0.42 -0.43 -0.43 -0.43 -0.43 -0.43 -0.42 -0.42 -0.41 -0.39 -0.37 -0.35 -0.31 -0.27 -0.25 -0.23 -0.19 -0.15 -0.11 -0.09 -0.06 -0.03 0.06 0.29 0.55
-0.00 -0.00 -0.01 -0.01 -0.03 -0.04 -0.06 -0.07 -0.08 -0.10 -0.11 -0.13 -0.16 -0.18 -0.20 -0.21 -0.22 -0.23 -0.25 -0.26 -0.28 -0.29 -0.31 -0.32 -0.32 -0.33 -0.34 -0.34 -0.35 -0.37 -0.38 -0.40 -0.41 -0.42 -0.43 -0.43 -0.43 -0.43 -0.42 -0.42 -0.41 -0.40 -0.38 -0.36 -0.34 -0.29 -0.25 -0.23 -0.23 -0.18 -0.14 -0.11 -0.08 -0.06 -0.04 0.00 0.13 0.36
-0.05 -0.05 -0.06 -0.07 -0.08 -0.09 -0.10 -0.11 -0.12 -0.13 -0.15 -0.17 -0.19 -0.20 -0.21 -0.23 -0.24 -0.25 -0.27 -0.28 -0.30 -0.31 -0.32 -0.33 -0.34 -0.34 -0.35 -0.36 -0.37 -0.38 -0.39 -0.40 -0.41 -0.42 -0.42 -0.42 -0.42 -0.42 -0.42 -0.41 -0.40 -0.39 -0.38 -0.36 -0.32 -0.28 -0.24 -0.21 -0.20 -0.19 -0.14 -0.11 -0.08 -0.06 -0.03 0.01 0.14 0.41
-0.09 -0.09 -0.10 -0.11 -0.12 -0.12 -0.13 -0.14 -0.15 -0.16 -0.18 -0.19 -0.21 -0.22 -0.23 -0.24 -0.26 -0.27 -0.28 -0.30 -0.31 -0.33 -0.33 -0.34 -0.35 -0.35 -0.36 -0.37 -0.38 -0.39 -0.40 -0.41 -0.41 -0.42 -0.42 -0.42 -0.42 -0.41 -0.41 -0.40 -0.39 -0.38 -0.37 -0.35 -0.32 -0.28 -0.24 -0.20 -0.18 -0.17 -0.16 -0.11 -0.08 -0.06 -0.03 -0.01 0.06 0.25
-0.12 -0.13 -0.13 -0.14 -0.14 -0.15 -0.16 -0.17 -0.18 -0.18 -0.20 -0.21 -0.23 -0.24 -0.25 -0.26 -0.28 -0.29 -0.30 -0.31 -0.32 -0.33 -0.34 -0.34 -0.35 -0.36 -0.37 -0.38 -0.39 -0.40 -0.41 -0.41 -0.41 -0.41 -0.41 -0.41 -0.41 -0.41 -0.40 -0.40 -0.39 -0.38 -0.37 -0.36 -0.33 -0.30 -0.25 -0.21 -0.18 -0.16 -0.15 -0.12 -0.09 -0.06 -0.03 -0.01 0.04 0.19
-0.15 -0.15 -0.16 -0.16 -0.17 -0.18 -0.18 -0.19 -0.20 -0.21 -0.22 -0.23 -0.24 -0.25 -0.27 -0.28 -0.29 -0.30 -0.31 -0.32 -0.34 -0.34 -0.35 -0.35 -0.36 -0.36 -0.37 -0.38 -0.39 -0.40 -0.41 -0.41 -0.41 -0.41 -0.41 -0.41 -0.41 -0.40 -0.40 -0.40 -0.39 -0.38 -0.37 -0.36 -0.34 -0.31 -0.27 -0.22 -0.19 -0.16 -0.15 -0.13 -0.09 -0.06 -0.03 -0.01 0.03 0.11
-0.18 -0.18 -0.18 -0.19 -0.19 -0.20 -0.20 -0.21 -0.22 -0.23 -0.24 -0.25 -0.26 -0.27 -0.28 -0.30 -0.31 -0.32 -0.33 -0.34 -0.35 -0.35 -0.35 -0.36 -0.36 -0.37 -0.38 -0.38 -0.39 -0.40 -0.40 -0.40 -0.40 -0.40 -0.40 -0.40 -0.40 -0.40 -0.40 -0.40 -0.39 -0.38 -0.37 -0.36 -0.34 -0.31 -0.28 -0.24 -0.21 -0.18 -0.16 -0.13 -0.10 -0.06 -0.03 -0.01 0.02 0.07
-0.20 -0.20 -0.20 -0.21 -0.21 -0.22 -0.22 -0.23 -0.23 -0.24 -0.25 -0.26 -0.27 -0.29 -0.30 -0.31 -0.32 -0.33 -0.34 -0.34 -0.35 -0.35 -0.36 -0.36 -0.37 -0.37 -0.38 -0.38 -0.39 -0.40 -0.40 -0.40 -0.40 -0.39 -0.39 -0.40 -0.40 -0.40 -0.40 -0.40 -0.39 -0.39 -0.37 -0.35 -0.33 -0.31 -0.28 -0.25 -0.21 -0.18 -0.16 -0.13 -0.10 -0.07 -0.04 -0.01 0.02 0.08
-0.22 -0.22 -0.22 -0.23 -0.23 -0.23 -0.24 -0.24 -0.25 -0.26 -0.27 -0.28 -0.29 -0.30 -0.31 -0.32 -0.33 -0.34 -0.34 -0.34 -0.34 -0.34 -0.35 -0.36 -0.36 -0.37 -0.37 -0.38 -0.38 -0.39 -0.39 -0.39 -0.39 -0.39 -0.39 -0.40 -0.40 -0.40 -0.40 -0.40 -0.39 -0.38 -0.36 -0.34 -0.32 -0.29 -0.27 -0.24 -0.21 -0.18 -0.15 -0.13 -0.10 -0.08 -0.04 -0.01 0.02 0.06
-0.24 -0.24 -0.24 -0.24 -0.24 -0.25 -0.25 -0.26 -0.27 -0.27 -0.28 -0.29 -0.30 -0.31 -0.32 -0.33 -0.34 -0.34 -0.34 -0.34 -0.33 -0.32 -0.33 -0.34 -0.35 -0.36 -0.36 -0.37 -0.38 -0.38 -0.38 -0.38 -0.38 -0.38 -0.39 -0.40 -0.40 -0.40 -0.40 -0.40 -0.39 -0.37 -0.35 -0.32 -0.30 -0.28 -0.26 -0.24 -0.21 -0.18 -0.15 -0.13 -0.10 -0.08 -0.05 -0.01 0.02 0.05
-0.25 -0.25 -0.26 -0.26 -0.26 -0.26 -0.27 -0.27 -0.28 -0.28 -0.29 -0.30 -0.31 -0.32 -0.33 -0.33 -0.34 -0.34 -0.34 -0.33 -0.30 -0.28 -0.29 -0.31 -0.33 -0.35 -0.36 -0.37 -0.37 -0.37 -0.37 -0.38 -0.38 -0.38 -0.39 -0.39 -0.39 -0.39 -0.39 -0.38 -0.37 -0.35 -0.33 -0.31 -0.29 -0.27 -0.25 -0.24 -0.21 -0.18 -0.15 -0.13 -0.10 -0.08 -0.05 -0.01 0.02 0.04
-0.26 -0.27 -0.27 -0.27 -0.28 -0.28 -0.28 -0.28 -0.29 -0.29 -0.30 -0.31 -0.31 -0.32 -0.33 -0.33 -0.34 -0.34 -0.34 -0.31 -0.27 -0.26 -0.25 -0.28 -0.31 -0.33 -0.35 -0.36 -0.37 -0.37 -0.37 -0.37 -0.38 -0.38 -0.39 -0.39 -0.39 -0.38 -0.37 -0.36 -0.34 -0.32 -0.30 -0.28 -0.27 -0.26 -0.25 -0.23 -0.21 -0.18 -0.15 -0.13 -0.10 -0.08 -0.05 -0.01 0.02 0.04
-0.28 -0.29 -0.29 -0.29 -0.29 -0.29 -0.29 -0.29 -0.29 -0.30 -0.30 -0.31 -0.32 -0.32 -0.33 -0.33 -0.34 -0.34 -0.34 -0.31 -0.26 -0.27 -0.29 -0.26 -0.29 -0.32 -0.34 -0.36 -0.37 -0.37 -0.37 -0.37 -0.37 -0.37 -0.38 -0.38 -0.38 -0.37 -0.35 -0.33 -0.31 -0.28 -0.27 -0.26 -0.26 -0.25 -0.24 -0.23 -0.21 -0.18 -0.16 -0.13 -0.10 -0.08 -0.05 -0.01 0.01 0.04
-0.31 -0.31 -0.31 -0.30 -0.30 -0.30 -0.30 -0.30 -0.30 -0.30 -0.31 -0.31 -0.32 -0.33 -0.33 -0.33 -0.34 -0.34 -0.34 -0.31 -0.28 -0.26 -0.27 -0.26 -0.29 -0.32 -0.34 -0.36 -0.37 -0.37 -0.38 -0.38 -0.37 -0.37 -0.38 -0.38 -0.37 -0.36 -0.33 -0.30 -0.26 -0.24 -0.23 -0.23 -0.24 -0.24 -0.24 -0.22 -0.21 -0.19 -0.16 -0.13 -0.11 -0.08 -0.05 -0.02 0.01 0.03
-0.33 -0.33 -0.32 -0.31 -0.30 -0.30 -0.30 -0.30 -0.30 -0.31 -0.31 -0.31 -0.32 -0.33 -0.33 -0.33 -0.34 -0.34 -0.34 -0.33 -0.29 -0.28 -0.27 -0.28 -0.30 -0.33 -0.35 -0.36 -0.37 -0.38 -0.38 -0.37 -0.37 -0.37 -0.37 -0.37 -0.36 -0.34 -0.30 -0.26 -0.22 -0.19 -0.19 -0.20 -0.22 -0.23 -0.23 -0.22 -0.21 -0.19 -0.16 -0.13 -0.11 -0.08 -0.05 -0.02 0.01 0.03
-0.35 -0.34 -0.32 -0.30 -0.29 -0.29 -0.29 -0.30 -0.30 -0.30 -0.31 -0.31 -0.32 -0.32 -0.33 -0.33 -0.33 -0.34 -0.33 -0.33 -0.32 -0.30 -0.29 -0.31 -0.33 -0.35 -0.36 -0.37 -0.37 -0.37 -0.38 -0.37 -0.37 -0.37 -0.37 -0.37 -0.35 -0.32 -0.27 -0.21 -0.17 -0.15 -0.15 -0.18 -0.21 -0.23 -0.23 -0.22 -0.21 -0.19 -0.16 -0.14 -0.11 -0.09 -0.05 -0.02 0.00 0.02
-0.35 -0.33 -0.29 -0.27 -0.26 -0.26 -0.26 -0.27 -0.28 -0.29 -0.30 -0.31 -0.31 -0.32 -0.33 -0.33 -0.33 -0.34 -0.34 -0.33 -0.33 -0.32 -0.32 -0.33 -0.35 -0.36 -0.36 -0.37 -0.37 -0.37 -0.37 -0.37 -0.37 -0.37 -0.36 -0.36 -0.34 -0.29 -0.23 -0.16 -0.12 -0.10 -0.12 -0.15 -0.20 -0.23 -0.23 -0.22 -0.21 -0.19 -0.16 -0.14 -0.12 -0.10 -0.06 -0.03 -0.01 0.01
-0.32 -0.27 -0.22 -0.20 -0.20 -0.20 -0.21 -0.23 -0.25 -0.27 -0.29 -0.30 -0.31 -0.31 -0.32 -0.33 -0.33 -0.34 -0.34 -0.34 -0.34 -0.34 -0.34 -0.35 -0.36 -0.36 -0.36 -0.36 -0.36 -0.36 -0.36 -0.37 -0.37 -0.36 -0.35 -0.35 -0.31 -0.25 -0.18 -0.10 -0.06 -0.05 -0.08 -0.13 -0.20 -0.23 -0.24 -0.23 -0.21 -0.19 -0.17 -0.14 -0.12 -0.11 -0.08 -0.05 -0.02 0.00
-0.25 -0.19 -0.15 -0.14 -0.14 -0.14 -0.15 -0.18 -0.21 -0.24 -0.27 -0.28 -0.30 -0.31 -0.32 -0.33 -0.33 -0.34 -0.34 -0.34 -0.34 -0.35 -0.35 -0.36 -0.36 -0.36 -0.35 -0.35 -0.34 -0.33 -0.34 -0.34 -0.35 -0.33 -0.32 -0.32 -0.27 -0.20 -0.11 -0.03 0.00 -0.01 -0.05 -0.12 -0.20 -0.24 -0.25 -0.23 -0.22 -0.20 -0.17 -0.15 -0.13 -0.11 -0.09 -0.07 -0.04 -0.01
-0.15 -0.12 -0.10 -0.10 -0.12 -0.12 -0.13 -0.13 -0.16 -0.20 -0.24 -0.27 -0.29 -0.30 -0.31 -0.32 -0.33 -0.34 -0.34 -0.35 -0.35 -0.36 -0.36 -0.36 -0.36 -0.35 -0.33 -0.31 -0.30 -0.29 -0.31 -0.30 -0.30 -0.29 -0.27 -0.26 -0.21 -0.11 -0.00 0.07 0.08 0.05 -0.02 -0.11 -0.21 -0.25 -0.25 -0.24 -0.22 -0.20 -0.18 -0.16 -0.13 -0.12 -0.10 -0.08 -0.06 -0.04
-0.09 -0.08 -0.09 -0.12 -0.14 -0.14 -0.15 -0.11 -0.13 -0.17 -0.22 -0.25 -0.28 -0.30 -0.31 -0.32 -0.33 -0.34 -0.35 -0.35 -0.35 -0.36 -0.36 -0.36 -0.35 -0.32 -0.28 -0.25 -0.23 -0.23 -0.24 -0.24 -0.23 -0.23 -0.21 -0.19 -0.10 0.03 0.14 0.19 0.18 0.12 0.02 -0.11 -0.22 -0.26 -0.26 -0.24 -0.23 -0.21 -0.18 -0.16 -0.14 -0.12 -0.10 -0.09 -0.07 -0.05
